Модель,Векторизация,Стемминг/Лемматизация,"Точность на тестовой выборке, %","Время 1 обучения, мс"
SVC rbf,TF-IDF,лемматизация,0.8796650717703348,0.8976910102367401
LinearSVC,мешок слов,лемматизация,0.8794138755980856,0.010136709213256836
LinearSVC,TF-IDF,лемматизация,0.8787440191387555,0.009883257150650025
SVC rbf,мешок слов,лемматизация,0.8780382775119616,0.8848137414455414
LinearSVC,мешок слов,стемминг,0.8779784688995208,0.010679514408111572
SVC rbf,TF-IDF,стемминг,0.8775119617224876,0.8602283835411072
SVC rbf,мешок слов,стемминг,0.8772727272727269,0.9704580199718476
LinearSVC,TF-IDF,стемминг,0.877021531100478,0.009914201498031617
SVC rbf,navec,лемматизация,0.8690167865707435,2.040003433227539
LinearSVC,navec,лемматизация,0.8577697841726618,1.2878959679603577
MultinomialNB,мешок слов,лемматизация,0.8570574162679424,0.002937754392623901
MultinomialNB,мешок слов,стемминг,0.8557894736842097,0.003076786994934082
MultinomialNB,TF-IDF,лемматизация,0.8543660287081335,0.002938036918640137
MultinomialNB,TF-IDF,стемминг,0.853672248803827,0.0027993595600128173
GaussianNB,мешок слов,лемматизация,0.8238729016786561,0.012339764833450317
